Teritoriālā vienība;Dzīvojamo telpu veids;Apdzīvoti mājokļi 2011;Apdzīvoti mājokļi 2021;Mājokļos dzīvojošās personas 2011;Mājokļos dzīvojošās personas 2021;Mājokļu pieaugums;Cilvēku pieaugums
Vecāķi;Apdzīvotie tradicionālie mājokļi;483;696;1374;1676;213;302
Vecāķi;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Vecāķi;Citas dzīvojamās vienības;5;18;8;35;13;27
Vecdaugava;Pavisam;445;477;1265;1246;32;-19
Vecdaugava;Apdzīvotie tradicionālie mājokļi;443;469;1260;1219;26;-41
Vecdaugava;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Vecdaugava;Citas dzīvojamās vienības;2;3;5;8;1;3
Vecmīlgrāvis;Pavisam;9191;9331;22667;20099;140;-2568
Vecmīlgrāvis;Apdzīvotie tradicionālie mājokļi;9154;9295;22531;19825;141;-2706
Vecmīlgrāvis;Instucionālie mājokļi (kopējas dzīvojamās telpas);30;0;123;0;-30;-123
Vecmīlgrāvis;Citas dzīvojamās vienības;7;33;13;270;26;257
Vecpilsēta;Pavisam;898;994;1913;1856;96;-57
Vecpilsēta;Apdzīvotie tradicionālie mājokļi;895;918;1906;1702;23;-204
Vecpilsēta;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;1;0;7;1;7
Vecpilsēta;Citas dzīvojamās vienības;3;53;7;103;50;96
Voleri;Pavisam;116;125;293;229;9;-64
Voleri;Apdzīvotie tradicionālie mājokļi;116;122;293;226;6;-67
Voleri;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Voleri;Citas dzīvojamās vienības;0;3;0;3;3;3
Zasulauks;Pavisam;2902;3142;6919;6450;240;-469
Zasulauks;Apdzīvotie tradicionālie mājokļi;2900;3120;6916;6406;220;-510
Zasulauks;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Zasulauks;Citas dzīvojamās vienības;2;21;3;42;19;39
Ziepniekkalns;Pavisam;13643;14449;33614;30715;806;-2899
Ziepniekkalns;Apdzīvotie tradicionālie mājokļi;13596;14357;33402;30442;761;-2960
Ziepniekkalns;Instucionālie mājokļi (kopējas dzīvojamās telpas);40;33;119;129;-7;10
Ziepniekkalns;Citas dzīvojamās vienības;7;46;93;124;39;31
Zolitūde;Pavisam;7253;7759;18648;16840;506;-1808
Zolitūde;Apdzīvotie tradicionālie mājokļi;7253;7738;18648;16808;485;-1840
Zolitūde;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Zolitūde;Citas dzīvojamās vienības;0;13;0;19;13;19
