"Apdzīvoti mājokļi un tajos dzīvojošās personas reģionos, republikas pilsētās, novados un apkaimēs – Teritoriālā vienība, Dzīvojamo telpu veids, Mērvienība un Laika periods"

"Teritoriālā vienība";"Dzīvojamo telpu veids";"Apdzīvoti mājokļi 2011";"Apdzīvoti mājokļi 2021";"Mājokļos dzīvojošās personas 2011";"Mājokļos dzīvojošās personas 2021"
"..Torņakalns";"Citas dzīvojamās vienības";3;36;7;97
"..Torņakalns";"Nav norādīts";0;22;0;52
"..Trīsciems";"Pavisam";298;397;976;1195
"..Trīsciems";"Apdzīvotie tradicionālie mājokļi";297;365;973;1066
"..Trīsciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Trīsciems";"Citas dzīvojamās vienības";1;10;3;53
"..Trīsciems";"Nav norādīts";0;22;0;76
"..Vecāķi";"Pavisam";488;730;1382;1745
"..Vecāķi";"Apdzīvotie tradicionālie mājokļi";483;696;1374;1676
"..Vecāķi";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Vecāķi";"Citas dzīvojamās vienības";5;18;8;35
"..Vecāķi";"Nav norādīts";0;16;0;34
"..Vecdaugava";"Pavisam";445;477;1265;1246
"..Vecdaugava";"Apdzīvotie tradicionālie mājokļi";443;469;1260;1219
"..Vecdaugava";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Vecdaugava";"Citas dzīvojamās vienības";2;3;5;8
"..Vecdaugava";"Nav norādīts";0;5;0;19
"..Vecmīlgrāvis";"Pavisam";9191;9331;22667;20099
"..Vecmīlgrāvis";"Apdzīvotie tradicionālie mājokļi";9154;9295;22531;19825
"..Vecmīlgrāvis";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";30;0;123;0
"..Vecmīlgrāvis";"Citas dzīvojamās vienības";7;33;13;270
"..Vecmīlgrāvis";"Nav norādīts";0;3;0;4
"..Vecpilsēta";"Pavisam";898;994;1913;1856
"..Vecpilsēta";"Apdzīvotie tradicionālie mājokļi";895;918;1906;1702
"..Vecpilsēta";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;1;0;7
"..Vecpilsēta";"Citas dzīvojamās vienības";3;53;7;103
"..Vecpilsēta";"Nav norādīts";0;22;0;44
"..Voleri";"Pavisam";116;125;293;229
"..Voleri";"Apdzīvotie tradicionālie mājokļi";116;122;293;226
"..Voleri";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Voleri";"Citas dzīvojamās vienības";0;3;0;3
"..Voleri";"Nav norādīts";0;0;0;0
"..Zasulauks";"Pavisam";2902;3142;6919;6450
"..Zasulauks";"Apdzīvotie tradicionālie mājokļi";2900;3120;6916;6406
"..Zasulauks";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Zasulauks";"Citas dzīvojamās vienības";2;21;3;42
"..Zasulauks";"Nav norādīts";0;1;0;2
"..Ziepniekkalns";"Pavisam";13643;14449;33614;30715
"..Ziepniekkalns";"Apdzīvotie tradicionālie mājokļi";13596;14357;33402;30442
"..Ziepniekkalns";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";40;33;119;129
"..Ziepniekkalns";"Citas dzīvojamās vienības";7;46;93;124
"..Ziepniekkalns";"Nav norādīts";0;13;0;20
"..Zolitūde";"Pavisam";7253;7759;18648;16840
"..Zolitūde";"Apdzīvotie tradicionālie mājokļi";7253;7738;18648;16808
"..Zolitūde";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Zolitūde";"Citas dzīvojamās vienības";0;13;0;19
"..Zolitūde";"Nav norādīts";0;8;0;13
